air_temp,rh,soil_moisture,soil_temp,co2,outside_temp,hour,dli_so_far,cool_trigger,cool_target,heat_trigger,rh_high,rh_low,sm_low,co2_trigger,fan,vent,mister,heater,irrigation,lights,co2_inject,fan_min,mister_min,heater_min,irrigation_min,lights_min,co2_min
32.9,41.1,96.0,25.1,929.0,26.5,10,4.65,28.0,26.0,12.0,90.0,60.0,50.0,700.0,2,1,1,0,0,0,0,20,25,0,0,0,0
14.1,71.0,20.3,29.4,805.0,8.4,20,16.23,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,1,0,0,0,0,0,45,0,0
29.5,61.5,51.5,24.8,745.0,29.5,21,8.31,28.3,26.3,8.3,86.2,61.8,54.9,794.0,2,1,1,0,0,0,0,20,15,0,0,0,0
16.5,79.4,26.6,20.7,261.0,16.1,20,10.8,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,1,0,0,0,0,0,45,0,0
27.1,71.3,40.2,13.6,927.0,23.4,9,1.0,26.0,24.0,8.8,90.3,59.7,51.3,753.0,2,1,1,1,1,0,0,15,10,45,35,0,0
5.9,40.9,75.0,24.7,429.0,5.0,7,0.79,27.1,25.1,12.6,89.5,62.8,53.3,681.0,0,0,1,1,0,0,1,0,25,45,0,0,15
15.6,98.0,79.6,18.9,659.0,8.8,4,0.0,29.4,27.4,10.5,85.7,56.2,59.2,782.0,2,1,0,0,0,0,0,30,0,0,0,0,0
31.0,40.5,49.5,17.2,1016.0,29.4,3,0.0,29.1,27.1,9.2,91.9,62.6,54.4,686.0,2,1,1,0,0,0,0,25,25,0,0,0,0
18.9,73.4,16.9,33.7,686.0,19.2,14,12.63,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,1,0,1,0,0,0,45,0,5
10.6,71.0,24.0,25.9,525.0,14.7,0,0.0,28.3,26.3,9.9,87.7,60.2,48.8,604.0,0,0,0,0,1,0,0,0,0,0,45,0,0
16.6,68.5,36.2,29.4,432.0,8.7,21,15.73,25.3,23.3,11.9,88.0,63.3,56.2,663.0,0,0,0,0,1,0,0,0,0,0,40,0,0
17.6,85.2,69.9,13.8,376.0,15.4,2,0.0,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,1,0,0,0,0,0,45,0,0,0
14.9,86.7,46.4,27.6,1476.0,11.3,12,2.62,28.0,26.0,12.0,90.0,60.0,50.0,700.0,0,0,0,0,1,0,0,0,0,0,25,0,0
34.6,43.5,25.3,27.3,618.0,35.6,18,7.87,25.9,23.9,11.5,90.6,60.8,44.0,761.0,3,1,1,0,1,1,0,40,25,0,40,80,0
